geography_type_norm,geography_id,county_name,geography_desc_full,total_units,speed_25_3,speed_100_20,speed_1000_100,pct_broadband_25mbps,pct_broadband_100mbps,county_fips,math_score_avg,reading_score_avg,total_students,n_districts,broadband_category
county,48437,Swisher County,"Swisher County, TX",4222,1.0,1.0,0.993841781,100.0,100.0,48437,-0.1803828507239958,-0.1773955084321721,10898.0,1.0,High-Speed
county,48439,Tarrant County,"Tarrant County, TX",941198,1.0,1.0,0.932850474,100.0,100.0,48439,-0.0184161084011118,-0.0178256694044334,2546758.0,1.0,High-Speed
county,48441,Taylor County,"Taylor County, TX",72915,1.0,1.0,0.88725228,100.0,100.0,48441,0.00966990105131,0.0103849618346593,160816.0,1.0,High-Speed
county,48443,Terrell County,"Terrell County, TX",1056,1.0,1.0,0.769886364,100.0,100.0,48443,0.0691759187799335,0.060838682472328,867.0,1.0,High-Speed
county,48445,Terry County,"Terry County, TX",6708,1.0,1.0,0.968694097,100.0,100.0,48445,-0.4792851754509809,-0.4741597237752843,15844.0,1.0,High-Speed
county,48447,Throckmorton County,"Throckmorton County, TX",1726,1.0,1.0,0.619930475,100.0,100.0,48447,-0.1711886326722289,-0.166030451324219,2163.0,1.0,High-Speed
county,48449,Titus County,"Titus County, TX",16259,1.0,1.0,0.67230457,100.0,100.0,48449,-0.1287292088491978,-0.1279926895811909,47423.0,1.0,High-Speed
county,48451,Tom Green County,"Tom Green County, TX",60526,1.0,1.0,0.796170241,100.0,100.0,48451,-0.1039019463747257,-0.1033656852258662,131513.0,1.0,High-Speed
county,48453,Travis County,"Travis County, TX",695667,1.0,0.999995688,0.600254145,100.0,99.9995688,48453,0.0977116932192511,0.0979260126801519,1187571.0,1.0,High-Speed
county,48455,Trinity County,"Trinity County, TX",10839,1.0,1.0,0.000184519,100.0,100.0,48455,-0.4153454459911937,-0.4123477261418902,16041.0,1.0,High-Speed
county,48457,Tyler County,"Tyler County, TX",11886,1.0,1.0,0.740787481,100.0,100.0,48457,-0.2200075108824134,-0.21905773276327786,25372.0,1.0,High-Speed
county,48461,Upton County,"Upton County, TX",2255,1.0,1.0,0.226607539,100.0,100.0,48461,-0.3865100659162723,-0.38179860935821897,5398.0,1.0,High-Speed
county,48463,Uvalde County,"Uvalde County, TX",14208,1.0,1.0,0.203125,100.0,100.0,48463,-0.3967904510223472,-0.394792968007509,39215.0,1.0,High-Speed
county,48465,Val Verde County,"Val Verde County, TX",22528,1.0,1.0,0.585981889,100.0,100.0,48465,-0.318376594792347,-0.316722480091314,75729.0,1.0,High-Speed
county,48467,Van Zandt County,"Van Zandt County, TX",34681,1.0,1.0,0.70995646,100.0,100.0,48467,-0.0560391657341717,-0.0550233210820081,69352.0,1.0,High-Speed
county,48469,Victoria County,"Victoria County, TX",46789,1.0,1.0,0.659642224,100.0,100.0,48469,-0.2854101504437503,-0.2844087381533699,108005.0,1.0,High-Speed
county,48471,Walker County,"Walker County, TX",35719,1.0,1.0,0.445365212,100.0,100.0,48471,-0.2876199138402062,-0.2854433372957826,50816.0,1.0,High-Speed
county,48473,Waller County,"Waller County, TX",27738,1.0,1.0,0.627766962,100.0,100.0,48473,-0.2457796444783394,-0.2446260385508164,48631.0,1.0,High-Speed
county,48475,Ward County,"Ward County, TX",7098,1.0,1.0,0.015497323,100.0,100.0,48475,-0.3714635896169295,-0.3676375102589538,16411.0,1.0,High-Speed
county,48477,Washington County,"Washington County, TX",21309,1.0,1.0,0.275798958,100.0,100.0,48477,-0.0278432701872751,-0.0262715308827062,36111.0,1.0,High-Speed
county,48479,Webb County,"Webb County, TX",99790,1.0,1.0,0.432107426,100.0,100.0,48479,-0.2405767151480048,-0.239080190002202,467506.0,1.0,High-Speed
county,48481,Wharton County,"Wharton County, TX",22264,1.0,1.0,0.647053539,100.0,100.0,48481,-0.1653344787421298,-0.1642247386781777,57707.0,1.0,High-Speed
county,48483,Wheeler County,"Wheeler County, TX",4235,1.0,1.0,0.0,100.0,100.0,48483,-0.1927200395415786,-0.1892657428096233,7540.0,1.0,High-Speed
county,48485,Wichita County,"Wichita County, TX",62057,1.0,1.0,0.776785858,100.0,100.0,48485,-0.0979336826706999,-0.0970387063741051,142649.0,1.0,High-Speed
county,48487,Wilbarger County,"Wilbarger County, TX",7339,1.0,1.0,0.871099605,100.0,100.0,48487,-0.2471487931579939,-0.2450608934143237,17067.0,1.0,High-Speed
county,48489,Willacy County,"Willacy County, TX",8629,1.0,1.0,0.862324719,100.0,100.0,48489,-0.3063405640678195,-0.3047540981803627,30909.0,1.0,High-Speed
county,48491,Williamson County,"Williamson County, TX",297267,1.0,1.0,0.471666885,100.0,100.0,48491,0.2215669957491612,0.22189772832108778,681000.0,1.0,High-Speed
county,48493,Wilson County,"Wilson County, TX",23035,1.0,1.0,0.497937921,100.0,100.0,48493,0.0578523925426249,0.0590940907587386,61626.0,1.0,High-Speed
county,48495,Winkler County,"Winkler County, TX",4176,1.0,1.0,0.022509579,100.0,100.0,48495,-0.5377415663920991,-0.5321729026701649,12058.0,1.0,High-Speed
county,48497,Wise County,"Wise County, TX",35551,1.0,1.0,0.421760288,100.0,100.0,48497,-0.0394586257806204,-0.0385551154048289,86891.0,1.0,High-Speed
county,48499,Wood County,"Wood County, TX",29052,1.0,0.999965579,0.796537244,100.0,99.9965579,48499,-0.053766165396572196,-0.05273999021515789,43265.0,1.0,High-Speed
county,48501,Yoakum County,"Yoakum County, TX",4153,1.0,1.0,0.697808813,100.0,100.0,48501,-0.1283106052892053,-0.1246910990534761,14272.0,1.0,High-Speed
county,48503,Young County,"Young County, TX",11087,1.0,1.0,0.7616127,100.0,100.0,48503,-0.1038092100057407,-0.10218789415863422,23878.0,1.0,High-Speed
county,48505,Zapata County,"Zapata County, TX",7959,1.0,1.0,0.037818821,100.0,100.0,48505,-0.3951616949073744,-0.39291718327743497,23930.0,1.0,High-Speed
county,48507,Zavala County,"Zavala County, TX",5134,1.0,1.0,0.221464745,100.0,100.0,48507,-0.583417147119786,-0.579831430739018,17798.0,1.0,High-Speed
county,49001,Beaver County,"Beaver County, UT",3792,1.0,1.0,0.379219409,100.0,100.0,49001,0.2391267722911634,0.2397632254548391,12826.0,1.0,High-Speed
county,49003,Box Elder County,"Box Elder County, UT",24454,1.0,1.0,0.864930073,100.0,100.0,49003,0.1017710940447426,0.1012357956971787,101977.0,1.0,High-Speed
county,49005,Cache County,"Cache County, UT",53867,1.0,1.0,0.483858392,100.0,100.0,49005,0.35107234466479453,0.3505533743823293,213510.0,1.0,High-Speed
county,49007,Carbon County,"Carbon County, UT",11853,1.0,1.0,0.949042437,100.0,100.0,49007,-0.0633259385298592,-0.0631103087305496,32270.0,1.0,High-Speed
county,49009,Daggett County,"Daggett County, UT",1501,1.0,1.0,0.910726183,100.0,100.0,49009,0.052077558411068106,0.0492128631825384,1285.0,1.0,High-Speed
county,49011,Davis County,"Davis County, UT",139398,1.0,1.0,0.938313319,100.0,100.0,49011,0.1898179482231638,0.1893047497093464,659195.0,1.0,High-Speed
county,49013,Duchesne County,"Duchesne County, UT",12549,1.0,1.0,0.564347757,100.0,100.0,49013,-0.1559872700226812,-0.1556292165989129,39478.0,1.0,High-Speed
county,49015,Emery County,"Emery County, UT",4994,1.0,1.0,0.948538246,100.0,100.0,49015,0.05553063285597341,0.0559722475187294,19783.0,1.0,High-Speed
county,49017,Garfield County,"Garfield County, UT",4248,1.0,1.0,0.610875706,100.0,100.0,49017,0.1488329560419469,0.1486367713294393,7751.0,1.0,High-Speed
county,49019,Grand County,"Grand County, UT",6611,1.0,1.0,0.980789593,100.0,100.0,49019,-0.0804926781750961,-0.0812468925685902,14006.0,1.0,High-Speed
county,49021,Iron County,"Iron County, UT",27299,1.0,1.0,0.743250669,100.0,100.0,49021,0.1337764151125087,0.1326686602934956,64717.0,1.0,High-Speed
county,49023,Juab County,"Juab County, UT",4974,1.0,1.0,0.723964616,100.0,100.0,49023,0.1231364513270808,0.12260792913385321,18412.0,1.0,High-Speed
county,49025,Kane County,"Kane County, UT",7359,1.0,1.0,0.484440821,100.0,100.0,49025,0.2354395111797594,0.23406847350103158,10488.0,1.0,High-Speed
county,49027,Millard County,"Millard County, UT",6731,1.0,1.0,0.6120933,100.0,100.0,49027,0.0615524015855163,0.0603127973721917,24659.0,1.0,High-Speed
county,49029,Morgan County,"Morgan County, UT",5013,1.0,1.0,0.626570916,100.0,100.0,49029,0.3381317265275847,0.3373664861306744,19489.0,1.0,High-Speed
county,49031,Piute County,"Piute County, UT",1289,1.0,1.0,0.653995345,100.0,100.0,49031,0.0637658857646369,0.0577800550579547,2053.0,1.0,High-Speed
county,49033,Rich County,"Rich County, UT",4149,1.0,1.0,0.305615811,100.0,100.0,49033,0.2663298546853926,0.254712098796876,3230.0,1.0,High-Speed
county,49035,Salt Lake County,"Salt Lake County, UT",518779,1.0,1.0,0.959408534,100.0,100.0,49035,-0.0167747770680041,-0.0170490041795817,1767377.0,1.0,High-Speed
county,49037,San Juan County,"San Juan County, UT",7570,1.0,1.0,0.563804491,100.0,100.0,49037,-0.4255182005934142,-0.4251669379484639,26094.0,1.0,High-Speed
county,49039,Sanpete County,"Sanpete County, UT",13271,1.0,1.0,0.726772662,100.0,100.0,49039,0.1645613526677145,0.1635855008110817,45450.0,1.0,High-Speed
county,49041,Sevier County,"Sevier County, UT",11238,1.0,1.0,0.782345613,100.0,100.0,49041,0.1610753007520843,0.1614756296892566,36601.0,1.0,High-Speed
county,49043,Summit County,"Summit County, UT",29647,1.0,1.0,0.799170236,100.0,100.0,49043,0.3596970608155833,0.3556839818629661,57335.0,1.0,High-Speed
county,49045,Tooele County,"Tooele County, UT",28358,1.0,1.0,0.963220255,100.0,100.0,49045,-0.0171262698143965,-0.0187624569369576,106599.0,1.0,High-Speed
county,49047,Uintah County,"Uintah County, UT",18171,1.0,1.0,0.843046613,100.0,100.0,49047,-0.0783995751590693,-0.0781851177505841,57767.0,1.0,High-Speed
county,49049,Utah County,"Utah County, UT",240456,1.0,1.0,0.866674152,100.0,100.0,49049,0.2074075890154622,0.2064999355804887,1010727.0,1.0,High-Speed
county,49051,Wasatch County,"Wasatch County, UT",18884,1.0,1.0,0.700169456,100.0,100.0,49051,0.1427537567153748,0.1417292841484212,51124.0,1.0,High-Speed
county,49053,Washington County,"Washington County, UT",94252,1.0,1.0,0.507830073,100.0,100.0,49053,0.1781749811976078,0.1758939358575254,208034.0,1.0,High-Speed
county,49055,Wayne County,"Wayne County, UT",2476,1.0,1.0,0.792810985,100.0,100.0,49055,0.1596128360473036,0.1549853603799359,4007.0,1.0,High-Speed
county,49057,Weber County,"Weber County, UT",113352,1.0,1.0,0.851215682,100.0,100.0,49057,-0.1347211953005018,-0.1346918090012316,420826.0,1.0,High-Speed
county,50003,Bennington County,"Bennington County, VT",23566,1.0,1.0,0.837223118,100.0,100.0,50003,0.0160695113589051,0.0175504655044427,34797.0,1.0,High-Speed
county,50009,Essex County,"Essex County, VT",5397,1.0,1.0,0.330183435,100.0,100.0,50009,-0.013671177113120402,-0.0109565139836336,5246.0,1.0,High-Speed
county,50013,Grand Isle County,"Grand Isle County, VT",6237,1.0,1.0,0.487253487,100.0,100.0,50013,0.1682963477873165,0.1652054825491541,6824.0,1.0,High-Speed
county,50015,Lamoille County,"Lamoille County, VT",16447,1.0,1.0,0.818203928,100.0,100.0,50015,0.1979629101692494,0.19664140591787976,28258.0,1.0,High-Speed
county,50021,Rutland County,"Rutland County, VT",37986,1.0,1.0,0.851234665,100.0,100.0,50021,0.0945481464760793,0.0955710528374206,62470.0,1.0,High-Speed
county,50027,Windsor County,"Windsor County, VT",39490,1.0,1.0,0.564877184,100.0,100.0,50027,0.2240878450848205,0.2242018479853625,52931.0,1.0,High-Speed
county,51001,Accomack County,"Accomack County, VA",26260,1.0,1.0,0.034082254,100.0,100.0,51001,-0.1057940448251281,-0.1067389281645967,34055.0,1.0,High-Speed
county,51007,Amelia County,"Amelia County, VA",7039,1.0,1.0,0.119477198,100.0,100.0,51007,-0.0229052795642277,-0.0232659744518941,12131.0,1.0,High-Speed
county,51011,Appomattox County,"Appomattox County, VA",9269,1.0,1.0,0.509763729,100.0,100.0,51011,0.0447864467970621,0.0472246658377258,15109.0,1.0,High-Speed
county,51013,Arlington County,"Arlington County, VA",123984,1.0,1.0,0.966923151,100.0,100.0,51013,0.3976300697767664,0.3984090118522239,156021.0,1.0,High-Speed
county,51017,Bath County,"Bath County, VA",3890,1.0,1.0,0.833933162,100.0,100.0,51017,0.0624985863279193,0.0637773537722371,3857.0,1.0,High-Speed
county,51019,Bedford County,"Bedford County, VA",44660,1.0,1.0,0.338625168,100.0,100.0,51019,0.0374076133059131,0.0395145417610156,68042.0,1.0,High-Speed
county,51021,Bland County,"Bland County, VA",4128,1.0,1.0,0.410368217,100.0,100.0,51021,0.0346282779715177,0.0355286252937041,5601.0,1.0,High-Speed
county,51029,Buckingham County,"Buckingham County, VA",9635,1.0,1.0,0.584120394,100.0,100.0,51029,-0.1449042933316371,-0.1481875974556697,13118.0,1.0,High-Speed
county,51031,Campbell County,"Campbell County, VA",30652,1.0,0.999967376,0.499347514,100.0,99.9967376,51031,0.0549820148370808,0.0545223812339257,54349.0,1.0,High-Speed
county,51036,Charles City County,"Charles City County, VA",3787,1.0,1.0,0.000264061,100.0,100.0,51036,-0.23080904964464488,-0.2226140375295615,4799.0,1.0,High-Speed
county,51041,Chesterfield County,"Chesterfield County, VA",158251,1.0,1.0,0.11659326,100.0,100.0,51041,0.2020712039178466,0.2030621639174046,404412.0,1.0,High-Speed
county,51051,Dickenson County,"Dickenson County, VA",9894,1.0,1.0,0.900950071,100.0,100.0,51051,0.0362706732746236,0.0356063575676135,15133.0,1.0,High-Speed
county,51057,Essex County,"Essex County, VA",7087,1.0,1.0,0.007478482,100.0,100.0,51057,-0.2033727890704986,-0.2007389209719989,9999.0,1.0,High-Speed
county,51059,Fairfax County,"Fairfax County, VA",499025,1.0,0.999995992,0.370392265,100.0,99.9995992,51059,0.3781169409943513,0.3779620888546756,1182702.0,1.0,High-Speed
county,51063,Floyd County,"Floyd County, VA",10598,1.0,1.0,0.85959615,100.0,100.0,51063,0.1474182782526862,0.1464907934991406,13945.0,1.0,High-Speed
county,51071,Giles County,"Giles County, VA",10142,1.0,1.0,0.187339775,100.0,100.0,51071,0.1137435607521805,0.112787020153251,16582.0,1.0,High-Speed
county,51083,Halifax County,"Halifax County, VA",23255,1.0,0.999956998,0.418017631,100.0,99.99569980000001,51083,-0.1134204464199914,-0.1097639695210793,35608.0,1.0,High-Speed
county,51087,Henrico County,"Henrico County, VA",165547,1.0,1.0,0.224788127,100.0,100.0,51087,0.1665934893977296,0.1668528755540641,339927.0,1.0,High-Speed
county,51093,Isle of Wight County,"Isle of Wight County, VA",19619,1.0,1.0,0.108466283,100.0,100.0,51093,0.1968463159774947,0.1976286797328563,36458.0,1.0,High-Speed
county,51095,James City County,"James City County, VA",39660,1.0,1.0,0.714422592,100.0,100.0,51095,0.3345210376624992,0.3334394148320816,58848.0,1.0,High-Speed
county,51097,King and Queen County,"King and Queen County, VA",4093,1.0,1.0,0.913999511,100.0,100.0,51097,-0.0424817241236319,-0.030363663646807,5187.0,1.0,High-Speed
county,51101,King William County,"King William County, VA",8930,1.0,1.0,0.488801792,100.0,100.0,51101,0.1173583965061539,0.1195549982642069,20571.0,1.0,High-Speed
county,51105,Lee County,"Lee County, VA",14646,1.0,1.0,0.981223542,100.0,100.0,51105,0.027297471380465704,0.030936890406920898,21917.0,1.0,High-Speed
county,51111,Lunenburg County,"Lunenburg County, VA",7216,1.0,1.0,0.419484479,100.0,100.0,51111,-0.1484891284355875,-0.1428657853404247,10682.0,1.0,High-Speed
county,51115,Mathews County,"Mathews County, VA",6231,1.0,1.0,0.021184401,100.0,100.0,51115,0.0366762831560135,0.0394501588424886,7533.0,1.0,High-Speed
county,51117,Mecklenburg County,"Mecklenburg County, VA",24016,1.0,0.999958361,0.609676882,100.0,99.9958361,51117,0.0324081329725473,0.0304932664071093,30366.0,1.0,High-Speed
county,51125,Nelson County,"Nelson County, VA",10766,1.0,1.0,0.977986253,100.0,100.0,51125,0.0542133047818905,0.0515275195694518,12911.0,1.0,High-Speed
county,51135,Nottoway County,"Nottoway County, VA",8902,1.0,1.0,0.312626376,100.0,100.0,51135,-0.1549183387465407,-0.1529572632020771,14630.0,1.0,High-Speed
county,51147,Prince Edward County,"Prince Edward County, VA",11839,1.0,1.0,0.763324605,100.0,100.0,51147,-0.2154267694132947,-0.2144830536937827,14858.0,1.0,High-Speed
county,51149,Prince George County,"Prince George County, VA",14931,1.0,1.0,0.399236488,100.0,100.0,51149,0.155323846381624,0.157025666145388,43549.0,1.0,High-Speed
county,51153,Prince William County,"Prince William County, VA",172801,1.0,1.0,0.382729267,100.0,100.0,51153,0.1587380904378424,0.1584383500273767,572960.0,1.0,High-Speed
county,51159,Richmond County,"Richmond County, VA",4517,1.0,1.0,0.363958379,100.0,100.0,51159,0.0806186612427461,0.0784970996530143,8486.0,1.0,High-Speed
county,51161,Roanoke County,"Roanoke County, VA",46227,1.0,1.0,0.717437861,100.0,100.0,51161,0.2970630014781775,0.2967396183619952,87809.0,1.0,High-Speed
county,51163,Rockbridge County,"Rockbridge County, VA",13346,1.0,1.0,0.625580698,100.0,100.0,51163,0.0633748488774489,0.0575833846964632,7533.0,1.0,High-Speed
county,51169,Scott County,"Scott County, VA",15611,1.0,1.0,0.977579912,100.0,100.0,51169,0.2350123106331107,0.2358774070867435,24308.0,1.0,High-Speed
county,51171,Shenandoah County,"Shenandoah County, VA",24096,1.0,1.0,0.374916999,100.0,100.0,51171,-0.0779104473506401,-0.0786545387379476,40833.0,1.0,High-Speed
county,51173,Smyth County,"Smyth County, VA",18450,1.0,1.0,0.994742547,100.0,100.0,51173,0.0394273220329976,0.0389001846637215,31508.0,1.0,High-Speed
county,51175,Southampton County,"Southampton County, VA",9988,1.0,1.0,0.421505807,100.0,100.0,51175,-0.0129083591069887,-0.0116303233829412,18423.0,1.0,High-Speed
county,51179,Stafford County,"Stafford County, VA",58986,1.0,1.0,0.575882413,100.0,100.0,51179,0.1929425826709538,0.1914103732122479,185523.0,1.0,High-Speed
county,51181,Surry County,"Surry County, VA",4336,1.0,1.0,0.941651292,100.0,100.0,51181,-0.0874548211336293,-0.083963425432609,5625.0,1.0,High-Speed
county,51183,Sussex County,"Sussex County, VA",6136,1.0,1.0,0.661016949,100.0,100.0,51183,-0.168848376175635,-0.1715387353000623,7526.0,1.0,High-Speed
county,51185,Tazewell County,"Tazewell County, VA",23738,1.0,1.0,0.742480411,100.0,100.0,51185,0.1368306646292386,0.1379753675198373,42122.0,1.0,High-Speed
county,51191,Washington County,"Washington County, VA",29896,1.0,1.0,0.961165373,100.0,100.0,51191,0.2275961576360539,0.2296341030865437,49165.0,1.0,High-Speed
county,51195,Wise County,"Wise County, VA",21116,1.0,1.0,0.934031066,100.0,100.0,51195,0.2382090863786757,0.238121645291574,40849.0,1.0,High-Speed
county,51199,York County,"York County, VA",33015,1.0,1.0,0.397001363,100.0,100.0,51199,0.3841939655213091,0.3850050081988686,85305.0,1.0,High-Speed
county,51510,Alexandria city,"Alexandria city, VA",89108,1.0,1.0,0.773454684,100.0,100.0,51510,-0.11687584045296472,-0.1118847797790007,90261.0,1.0,High-Speed
county,51520,Bristol city,"Bristol city, VA",9910,1.0,1.0,0.999495459,100.0,100.0,51520,-0.0246977729846376,-0.0231760902739562,15403.0,1.0,High-Speed
county,51530,Buena Vista city,"Buena Vista city, VA",3145,1.0,1.0,0.852782194,100.0,100.0,51530,-0.1704487720864696,-0.169602709651789,6912.0,1.0,High-Speed
county,51540,Charlottesville city,"Charlottesville city, VA",24954,1.0,1.0,0.730183538,100.0,100.0,51540,0.1344950791132256,0.1354067903079406,32777.0,1.0,High-Speed
county,51550,Chesapeake city,"Chesapeake city, VA",108501,1.0,1.0,0.458447388,100.0,100.0,51550,0.1575192835786122,0.1579247633026789,267059.0,1.0,High-Speed
county,51570,Colonial Heights city,"Colonial Heights city, VA",8976,1.0,1.0,0.24877451,100.0,100.0,51570,0.0917551308524149,0.0913051943730935,19173.0,1.0,High-Speed
county,51580,Covington city,"Covington city, VA",3719,1.0,1.0,0.974724388,100.0,100.0,51580,-0.1597703528053677,-0.1531859001423037,6330.0,1.0,High-Speed
county,51590,Danville city,"Danville city, VA",26470,1.0,1.0,0.099848886,100.0,100.0,51590,-0.3171201032984409,-0.3162290845393937,40468.0,1.0,High-Speed
county,51600,Fairfax city,"Fairfax city, VA",11333,1.0,1.0,0.394335128,100.0,100.0,51600,0.2132061024677208,0.21119097052349237,26985.0,1.0,High-Speed
county,51610,Falls Church city,"Falls Church city, VA",7970,1.0,1.0,0.218946048,100.0,100.0,51610,0.5830616426354367,0.5875680120912011,15948.0,1.0,High-Speed
